"AOBJTXTA";"Table des mots-clés";
"APARIMPEXP";"Paramètres import/export";
"APATCH";"Suivi des patchs";
"APATCHLOG";"Suivi des patchs";
"APATCHLOGD";"Suivi des patchs";
"APATCHMOD";"Modèle de paramétrage";
"APATCHTMP";"Intégration de patch";
"APLCOM";"Compteurs";
"APLCOMH";"Compteurs";
"APLLCK";"Table des verrous";
"APLSTD";"Messages applicatif";
"APOOLBRG";"Pool du bridge Java";
"APOOLWS";"Pool de services web";
"APORTMOD";"Modules portail";
"APORTTAB";"Portail onglets";
"APORTTYP";"Famille vignette";
"APORTUSER";"Portail utilisateur";
"APORTVIG";"Vignettes";
"APRINTDES";"Description imprimantes";
"APRINTER";"Destinations";
"APROCESSUS";"Processus";
"APROCTEXTE";"Textes processus";
"APROFIL";"Profil utilisateur";
"APROMEN";"Menu processus";
"APRTAUS";"Destinations par utilisateur";
"APRTBRW";"Multi-listes";
"APTLPAGE";"Pages du portail";
"APTLPAR";"Paramètres des vues portail";
"APTLVW";"Vues du portail";
"ARCHPAR";"Règles d'archivage";
"ARCHPARE";"Paramètres d'archivage";
"ARCHPARU";"Profil utilisateur GED";
"ARCHPARW";"Paramètres d'archivage";
"AREFAML";"Références croisées textes";
"AREFTXT";"Références croisées textes";
"AREPORT";"Dictionnaire  des Etats";
"AREPORTA";"Paramétrage imprimante";
"AREPORTD";"Paramètres des états";
"AREPORTG";"Paramétrage imprimante";
"AREPORTM";"Impressions maj tables";
"AREPORTS";"Etats - Sources de données";
"AREPORTV";"Impressions";
"AREPORTX";"Impressions";
"AREPORTZ";"Etats ZPL";
"AROLE";"Restrictions d'accès";
"ASHW";"Représentations";
"ASHWBLC";"Représentation (Blocs)";
"ASHWCOL";"Représentations (Collections)";
"ASHWEXPPRO";"Représentations (Exposées)";
"ASHWFLD";"Représentations (Lignes)";
"ASHWLNK";"Représentations (Ancres)";
"ASHWMENU";"Représentations (Menus)";
"ASHWMET";"Représentation (méthodes)";
"ASHWOPT";"Représentations (Options)";
"ASHWPAR";"Représentation (paramètres)";
